Repeat,VAR2,Point,SMU1 Voltage,SMU1 Current,SMU1 Time
1,1,171,531.58000E-003,-20.00000E-012,6.52529E+000
1,1,172,534.70900E-003,-1.93900E-009,6.57032E+000
1,1,173,537.84000E-003,-416.00000E-012,6.61212E+000
1,1,174,540.96000E-003,-774.00000E-012,6.63734E+000
1,1,175,544.09000E-003,-543.00000E-012,6.68037E+000
1,1,176,547.22000E-003,-1.15600E-009,6.72204E+000
1,1,177,550.33800E-003,37.00000E-012,6.74591E+000
1,1,178,553.47000E-003,-614.00000E-012,6.78920E+000
1,1,179,556.59900E-003,-2.15000E-009,6.83097E+000
1,1,180,559.72000E-003,-315.00000E-012,6.87257E+000
1,1,181,562.85000E-003,-153.00000E-012,6.89644E+000
1,1,182,565.98000E-003,-397.00000E-012,6.94092E+000
1,1,183,569.11000E-003,-706.00000E-012,6.98256E+000
1,1,184,572.22800E-003,194.00000E-012,7.00643E+000
1,1,185,575.36000E-003,-707.00000E-012,7.06856E+000
1,1,186,578.48900E-003,-2.11800E-009,7.11088E+000
1,1,187,581.61000E-003,-446.00000E-012,7.15255E+000
1,1,188,584.74000E-003,-476.00000E-012,7.17643E+000
1,1,189,587.87000E-003,-774.00000E-012,7.22102E+000
1,1,190,590.98900E-003,-64.00000E-012,7.24486E+000
1,1,191,594.12000E-003,-677.00000E-012,7.28852E+000
1,1,192,597.24900E-003,-2.09200E-009,7.33041E+000
1,1,193,600.38000E-003,-395.00000E-012,7.37259E+000
1,1,194,603.50000E-003,-244.00000E-012,7.39757E+000
1,1,195,606.63000E-003,-396.00000E-012,7.44011E+000
1,1,196,609.76000E-003,392.00000E-012,7.48187E+000
1,1,197,612.88000E-003,60.00000E-012,7.50574E+000
1,1,198,616.01000E-003,129.00000E-012,7.56896E+000
1,1,199,619.13900E-003,-1.97800E-009,7.61080E+000
1,1,200,622.26000E-003,-303.00000E-012,7.65234E+000
1,1,201,625.38900E-003,556.00000E-012,7.67622E+000
1,1,202,628.52000E-003,437.00000E-012,7.72071E+000
1,1,203,631.64000E-003,628.00000E-012,7.76240E+000
1,1,204,634.76800E-003,-49.00000E-012,7.78626E+000
1,1,205,637.90000E-003,-994.00000E-012,7.82882E+000
1,1,206,641.02900E-003,-2.20200E-009,7.87084E+000
1,1,207,644.15000E-003,-385.00000E-012,7.91238E+000
1,1,208,647.28000E-003,272.00000E-012,7.93624E+000
1,1,209,650.41000E-003,295.00000E-012,7.98137E+000
1,1,210,653.53000E-003,-39.00000E-012,8.00523E+000
1,1,211,656.65900E-003,-593.00000E-012,8.04838E+000
1,1,212,659.78900E-003,-2.00400E-009,8.09029E+000
1,1,213,662.91000E-003,-408.00000E-012,8.11606E+000
1,1,214,666.04000E-003,-270.00000E-012,8.16001E+000
1,1,215,669.17000E-003,-65.00000E-012,8.20180E+000
1,1,216,672.30000E-003,132.00000E-012,8.22566E+000
1,1,217,675.42000E-003,-585.00000E-012,8.26878E+000
1,1,218,678.54900E-003,-2.13200E-009,8.31102E+000
1,1,219,681.68000E-003,-390.00000E-012,8.35256E+000
1,1,220,684.80000E-003,-714.00000E-012,8.37643E+000
1,1,221,687.92900E-003,-286.00000E-012,8.42107E+000
1,1,222,691.06000E-003,-24.00000E-012,8.44489E+000
1,1,223,694.17900E-003,-613.00000E-012,8.48833E+000
1,1,224,697.30900E-003,-1.85200E-009,8.53040E+000
1,1,225,700.44000E-003,-458.00000E-012,8.57209E+000
1,1,226,703.56000E-003,-333.00000E-012,8.59596E+000
1,1,227,706.69000E-003,164.00000E-012,8.66000E+000
1,1,228,709.82000E-003,-156.00000E-012,8.70211E+000
1,1,229,712.94900E-003,152.00000E-012,8.72693E+000
1,1,230,716.07000E-003,-793.00000E-012,8.76849E+000
1,1,231,719.19900E-003,-1.99100E-009,8.81032E+000
1,1,232,722.33000E-003,-419.00000E-012,8.85206E+000
1,1,233,725.45000E-003,-1.01100E-009,8.87616E+000
1,1,234,728.58000E-003,500.00000E-012,8.91994E+000
1,1,235,731.71000E-003,-481.00000E-012,8.96200E+000
1,1,236,734.83000E-003,9.00000E-012,8.98588E+000
1,1,237,737.96000E-003,-627.00000E-012,9.02921E+000
1,1,238,741.08900E-003,-2.06500E-009,9.07095E+000
1,1,239,744.22000E-003,-404.00000E-012,9.11248E+000
1,1,240,747.34000E-003,281.00000E-012,9.13662E+000
1,1,241,750.47000E-003,-1.37000E-009,9.18095E+000
1,1,242,753.60000E-003,203.00000E-012,9.20481E+000
1,1,243,756.72000E-003,-669.00000E-012,9.24871E+000
1,1,244,759.84900E-003,-1.80400E-009,9.29100E+000
1,1,245,762.98000E-003,-335.00000E-012,9.34066E+000
1,1,246,766.10100E-003,-7.00000E-012,9.36450E+000
1,1,247,769.23000E-003,-700.00000E-012,9.40838E+000
1,1,248,772.35900E-003,-2.07700E-009,9.45039E+000
1,1,249,775.48000E-003,-413.00000E-012,9.49220E+000
1,1,250,778.61000E-003,-1.41300E-009,9.51736E+000
1,1,251,781.73900E-003,-193.00000E-012,9.55963E+000
1,1,252,784.87000E-003,-722.00000E-012,9.60161E+000
1,1,253,787.98900E-003,-8.00000E-012,9.62552E+000
1,1,254,791.11900E-003,-772.00000E-012,9.68828E+000
1,1,255,794.24900E-003,-1.93400E-009,9.73102E+000
1,1,256,797.37000E-003,141.00000E-012,9.75490E+000
1,1,257,800.50000E-003,-552.00000E-012,9.77905E+000
1,1,258,803.62900E-003,-449.00000E-012,9.82151E+000
1,1,259,806.75000E-003,144.00000E-012,9.84538E+000
1,1,260,809.88000E-003,-666.00000E-012,9.88848E+000
1,1,261,813.00900E-003,-2.11000E-009,9.93079E+000
1,1,262,816.14000E-003,-416.00000E-012,9.97230E+000
1,1,263,819.25900E-003,107.00000E-012,9.99615E+000
1,1,264,822.39000E-003,296.00000E-012,10.04010E+000
1,1,265,825.51900E-003,-691.00000E-012,10.08192E+000
1,1,266,828.64000E-003,167.00000E-012,10.10579E+000
1,1,267,831.76900E-003,-1.27500E-009,10.14875E+000
1,1,268,834.89900E-003,-1.29300E-009,10.19121E+000
1,1,269,838.02000E-003,-498.00000E-012,10.23525E+000
1,1,270,841.15000E-003,217.00000E-012,10.25910E+000
1,1,271,844.27900E-003,-19.00000E-012,10.28518E+000
1,1,272,847.39900E-003,-566.00000E-012,10.32858E+000
1,1,273,850.53000E-003,-1.65300E-009,10.37101E+000
1,1,274,853.65900E-003,506.00000E-012,10.39489E+000
1,1,275,856.78900E-003,-861.00000E-012,10.41909E+000
1,1,276,859.91000E-003,-634.00000E-012,10.46806E+000
1,1,277,863.03900E-003,-1.72600E-009,10.51055E+000
1,1,278,866.17000E-003,-433.00000E-012,10.55216E+000
1,1,279,869.28900E-003,-115.00000E-012,10.57603E+000
1,1,280,872.42000E-003,375.00000E-012,10.61958E+000
1,1,281,875.55000E-003,-554.00000E-012,10.66173E+000
1,1,282,878.66900E-003,187.00000E-012,10.68565E+000
1,1,283,881.79900E-003,-548.00000E-012,10.72801E+000
1,1,284,884.93000E-003,344.00000E-012,10.75881E+000
1,1,285,888.06000E-003,-144.00000E-012,10.80074E+000
1,1,286,891.18100E-003,126.00000E-012,10.82459E+000
1,1,287,894.31000E-003,-603.00000E-012,10.86800E+000
1,1,288,897.43900E-003,-1.84600E-009,10.91015E+000
1,1,289,900.55900E-003,-434.00000E-012,10.95187E+000
1,1,290,903.69000E-003,16.00000E-012,10.97572E+000
1,1,291,906.82000E-003,-671.00000E-012,11.01977E+000
1,1,292,909.94000E-003,-817.00000E-012,11.06202E+000
1,1,293,913.07100E-003,130.00000E-012,11.08635E+000
1,1,294,916.19900E-003,-1.37800E-009,11.12878E+000
1,1,295,919.31900E-003,-942.00000E-012,11.17123E+000
1,1,296,922.45000E-003,-149.00000E-012,11.19507E+000
1,1,297,925.57900E-003,-222.00000E-012,11.23954E+000
1,1,298,928.71000E-003,993.00000E-012,11.30047E+000
1,1,299,931.83000E-003,0.00000E+000,11.32433E+000
1,1,300,934.96000E-003,-563.00000E-012,11.36867E+000
1,1,301,938.09000E-003,-1.34700E-009,11.41101E+000
1,1,302,941.21000E-003,160.00000E-012,11.43488E+000
1,1,303,944.34000E-003,375.00000E-012,11.45900E+000
1,1,304,947.47000E-003,-20.00000E-012,11.50071E+000
1,1,305,950.59000E-003,-5.00000E-012,11.52459E+000
1,1,306,953.72000E-003,-636.00000E-012,11.56795E+000
1,1,307,956.85000E-003,-1.89200E-009,11.60997E+000
1,1,308,959.97000E-003,-457.00000E-012,11.65186E+000
1,1,309,963.10000E-003,129.00000E-012,11.67575E+000
1,1,310,966.23000E-003,-1.02400E-009,11.71963E+000
1,1,311,969.36000E-003,-199.00000E-012,11.76155E+000
1,1,312,972.48100E-003,-27.00000E-012,11.80523E+000
1,1,313,975.61000E-003,-639.00000E-012,11.84791E+000
1,1,314,978.73900E-003,-2.14900E-009,11.89002E+000
1,1,315,981.86000E-003,-384.00000E-012,11.93170E+000
1,1,316,984.99000E-003,-324.00000E-012,11.95565E+000
1,1,317,988.12000E-003,-353.00000E-012,11.99934E+000
1,1,318,991.24000E-003,936.00000E-012,12.04097E+000
1,1,319,994.37000E-003,21.00000E-012,12.06484E+000
1,1,320,997.50000E-003,-559.00000E-012,12.10819E+000
1,1,321,1.00063E+000,-1.77800E-009,12.15075E+000
1,1,322,1.00375E+000,-424.00000E-012,12.17463E+000
1,1,323,1.00688E+000,535.00000E-012,12.19900E+000
1,1,324,1.01001E+000,-243.00000E-012,12.24105E+000
1,1,325,1.01313E+000,169.00000E-012,12.26492E+000
1,1,326,1.01626E+000,-1.10300E-009,12.32893E+000
1,1,327,1.01939E+000,-990.00000E-012,12.37102E+000
1,1,328,1.02251E+000,-236.00000E-012,12.39490E+000
1,1,329,1.02564E+000,-508.00000E-012,12.43927E+000
1,1,330,1.02877E+000,-998.00000E-012,12.48151E+000
1,1,331,1.03189E+000,189.00000E-012,12.50535E+000
1,1,332,1.03502E+000,-473.00000E-012,12.54777E+000
1,1,333,1.03815E+000,-2.04800E-009,12.59004E+000
1,1,334,1.04128E+000,-403.00000E-012,12.63176E+000
1,1,335,1.04440E+000,-56.00000E-012,12.65572E+000
1,1,336,1.04753E+000,-814.00000E-012,12.69924E+000
1,1,337,1.05066E+000,-549.00000E-012,12.74087E+000
1,1,338,1.05378E+000,127.00000E-012,12.76473E+000
1,1,339,1.05691E+000,-464.00000E-012,12.80865E+000
1,1,340,1.06004E+000,-1.00200E-009,12.85109E+000
1,1,341,1.06316E+000,255.00000E-012,12.87673E+000
1,1,342,1.06629E+000,119.00000E-012,12.91951E+000
1,1,343,1.06942E+000,520.00000E-012,12.96138E+000
1,1,344,1.07255E+000,66.00000E-012,12.98526E+000
1,1,345,1.07567E+000,-638.00000E-012,13.02782E+000
1,1,346,1.07880E+000,-2.05500E-009,13.06983E+000
1,1,347,1.08193E+000,-409.00000E-012,13.11169E+000
1,1,348,1.08505E+000,-164.00000E-012,13.13570E+000
1,1,349,1.08818E+000,1.06200E-009,13.17920E+000
1,1,350,1.09131E+000,439.00000E-012,13.22085E+000
1,1,351,1.09443E+000,47.00000E-012,13.24478E+000
1,1,352,1.09756E+000,-547.00000E-012,13.28828E+000
1,1,353,1.10069E+000,-1.60600E-009,13.33074E+000
1,1,354,1.10381E+000,205.00000E-012,13.35463E+000
1,1,355,1.10694E+000,-385.00000E-012,13.41926E+000
1,1,356,1.11007E+000,-720.00000E-012,13.46772E+000
1,1,357,1.11320E+000,-2.21400E-009,13.51004E+000
1,1,358,1.11632E+000,-475.00000E-012,13.55169E+000
1,1,359,1.11945E+000,320.00000E-012,13.57573E+000
1,1,360,1.12258E+000,1.25000E-009,13.61942E+000
1,1,361,1.12570E+000,615.00000E-012,13.66176E+000
1,1,362,1.12883E+000,27.00000E-012,13.68568E+000
1,1,363,1.13196E+000,-687.00000E-012,13.72768E+000
1,1,364,1.13508E+000,-2.17800E-009,13.77020E+000
1,1,365,1.13821E+000,-367.00000E-012,13.81203E+000
1,1,366,1.14134E+000,-384.00000E-012,13.83616E+000
1,1,367,1.14447E+000,674.00000E-012,13.87931E+000
1,1,368,1.14759E+000,-125.00000E-012,13.92137E+000
1,1,369,1.15072E+000,2.00000E-012,13.96669E+000
1,1,370,1.15385E+000,-1.32700E-009,14.00825E+000
1,1,371,1.15697E+000,-2.18200E-009,14.05030E+000
1,1,372,1.16010E+000,-438.00000E-012,14.09911E+000
1,1,373,1.16323E+000,-805.00000E-012,14.14101E+000
1,1,374,1.16635E+000,92.00000E-012,14.16487E+000
1,1,375,1.16948E+000,-540.00000E-012,14.20791E+000
1,1,376,1.17261E+000,-1.93600E-009,14.25044E+000
1,1,377,1.17573E+000,-407.00000E-012,14.29195E+000
1,1,378,1.17886E+000,-110.00000E-012,14.31582E+000
1,1,379,1.18199E+000,-507.00000E-012,14.35914E+000
1,1,380,1.18512E+000,341.00000E-012,14.40079E+000
1,1,381,1.18824E+000,25.00000E-012,14.42466E+000
1,1,382,1.19137E+000,121.00000E-012,14.48782E+000
1,1,383,1.19450E+000,-2.21100E-009,14.52986E+000
1,1,384,1.19762E+000,-1.11800E-009,14.57966E+000
1,1,385,1.20075E+000,665.00000E-012,14.62153E+000
1,1,386,1.20388E+000,-18.00000E-012,14.64540E+000
1,1,387,1.20700E+000,-906.00000E-012,14.68787E+000
1,1,388,1.21013E+000,-2.06500E-009,14.72969E+000
1,1,389,1.21326E+000,-411.00000E-012,14.77152E+000
1,1,390,1.21639E+000,-141.00000E-012,14.79539E+000
1,1,391,1.21951E+000,-836.00000E-012,14.83901E+000
1,1,392,1.22264E+000,585.00000E-012,14.88170E+000
1,1,393,1.22577E+000,50.00000E-012,14.90562E+000
1,1,394,1.22889E+000,-656.00000E-012,14.94761E+000
1,1,395,1.23202E+000,-1.93000E-009,14.98914E+000
1,1,396,1.23515E+000,-407.00000E-012,15.05161E+000
1,1,397,1.23827E+000,457.00000E-012,15.07551E+000
1,1,398,1.24140E+000,-393.00000E-012,15.11881E+000
1,1,399,1.24453E+000,2.13800E-009,15.16171E+000
1,1,400,1.24765E+000,91.00000E-012,15.18563E+000
1,1,401,1.25078E+000,-458.00000E-012,15.22746E+000
1,1,402,1.25391E+000,-2.22500E-009,15.26965E+000
1,1,403,1.25704E+000,-386.00000E-012,15.31139E+000
1,1,404,1.26016E+000,-1.25000E-009,15.33525E+000
